Index,Type,Data_Selected_Start,End,Code,Station,Channel,Peak_time
1,DF,2017-05-19T11:50:00,2017-05-19T13:00:00,9S,ILL02,EHZ,2017-05-19T12:21:07
2,DF,2017-05-29T16:55:00,2017-05-29T17:50:00,9S,ILL02,EHZ,2017-05-29T17:01:44
3,DF,2017-06-03T20:10:00,2017-06-03T21:30:00,9S,ILL02,EHZ,2017-06-03T20:31:08
4,DF,2017-06-03T23:20:00,2017-06-04T00:15:00,9S,ILL02,EHZ,2017-06-03T23:33:23
5,DF,2017-06-14T19:25:00,2017-06-14T20:15:00,9S,ILL02,EHZ,2017-06-14T19:33:46
1,DF,2017-05-19T11:30:00,2017-05-19T13:10:00,9S,ILL08,EHZ,No-Data
2,DF,2017-05-29T16:50:00,2017-05-29T17:45:00,9S,ILL08,EHZ,No-Data
3,DF,2017-06-03T20:05:00,2017-06-03T20:50:00,9S,ILL08,EHZ,No-Data
4,DF,2017-06-03T23:15:00,2017-06-03T23:55:00,9S,ILL08,EHZ,No-Data
5,DF,2017-06-14T19:10:00,2017-06-14T20:45:00,9S,ILL08,EHZ,No-Data
1,DF,2017-05-19T12:20:00,2017-05-19T13:00:00,9S,ILL03,EHZ,No-Data
2,DF,2017-05-29T16:55:00,2017-05-29T18:25:00,9S,ILL03,EHZ,No-Data
3,DF,2017-06-03T20:40:00,2017-06-03T20:55:00,9S,ILL03,EHZ,No-Data
4,DF,2017-06-03T23:25:00,2017-06-04T00:05:00,9S,ILL03,EHZ,No-Data
5,DF,2017-06-14T19:25:00,2017-06-14T21:30:00,9S,ILL03,EHZ,No-Data
